epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1070.2,1.32253,1.5514,1.26613,0.45147,0.2838,0.25536,0.15349,1.4403,1.67855,1.33249,0.000475349,0.000475349,0.000475349
2,2264.92,1.55495,1.67002,1.42464,0.5236,0.32545,0.33049,0.19966,1.45683,1.58326,1.39037,0.000913996,0.000913996,0.000913996
3,3602.88,1.58323,1.70572,1.45705,0.56871,0.27764,0.28879,0.17473,1.47236,1.47858,1.3764,0.00131492,0.00131492,0.00131492
4,5024.29,1.53081,1.63392,1.42129,0.53021,0.32783,0.33577,0.21112,1.4109,1.29258,1.33193,0.00125923,0.00125923,0.00125923
5,6410.98,1.46425,1.50077,1.37944,0.56367,0.39947,0.4019,0.27598,1.24428,1.1731,1.24268,0.00120265,0.00120265,0.00120265
6,7838.54,1.39731,1.40265,1.32974,0.63503,0.4288,0.45273,0.30392,1.22968,1.13152,1.22157,0.00114606,0.00114606,0.00114606
7,9280.37,1.366,1.33271,1.31109,0.62397,0.42768,0.43729,0.29789,1.21222,1.06752,1.22176,0.00108947,0.00108947,0.00108947
8,10773.1,1.34536,1.29546,1.3001,0.59161,0.41883,0.42475,0.29673,1.18263,1.05634,1.19197,0.00103288,0.00103288,0.00103288
9,12538.1,1.30017,1.23698,1.27417,0.63361,0.42818,0.44278,0.31688,1.16142,1.01181,1.18844,0.000976293,0.000976293,0.000976293
10,14252.6,1.27962,1.21257,1.25879,0.64371,0.45119,0.45825,0.31993,1.15131,0.98584,1.17633,0.000919704,0.000919704,0.000919704
11,16048,1.2648,1.17206,1.25112,0.65374,0.51318,0.50637,0.35964,1.11715,0.92652,1.14365,0.000863116,0.000863116,0.000863116
12,17948.2,1.22932,1.1415,1.2337,0.68029,0.47298,0.4932,0.35754,1.09543,0.90161,1.14275,0.000806528,0.000806528,0.000806528
13,19731.1,1.20438,1.09711,1.21905,0.67344,0.48867,0.49018,0.35427,1.08627,0.86244,1.13579,0.000749939,0.000749939,0.000749939
14,21647.2,1.18368,1.0641,1.20166,0.65189,0.49387,0.49263,0.36361,1.05519,0.86342,1.12265,0.000693351,0.000693351,0.000693351
15,23688.5,1.15946,1.02746,1.18699,0.65534,0.52365,0.52709,0.38535,1.04886,0.86996,1.123,0.000636762,0.000636762,0.000636762
